Drug Name,Strength / Composition,Indication,Date of Approval,Firm Name
Ranitidine injection,Each 2ml contains; ranitidine hydrochloride eq.to 50mg of ranitidine.,,1986-February,Glaxo
Ranitidine syrup,Each 10ml contains; ranitidine hcl eq.to ranitidine-150mg,,1990- February,"Cipla ltd, Bombay"
Ranitidine tablets,Each tablet contains; ranitidine hcl eq.to 150 mg of ranitidine.,"Anti ulcer- Indicated in the treatment of duodenal ulcer, benign gastric ulcer, post operative ulcer, reflux oesophagitis, zollinger ellison syndrome.",1985-August,Glaxo
Ranolazine 1000mg ER Tabs (Additional Strength),,Same as approve,31.01.09,
Ranolazine ER 500mg Tablet,Each film coated ER tablet contains; ranolazine-500mg,For the treatment of chronic angina.,04.06.07,Sun pharma
Ranolazine ER Tablet 375mg/750mg (Additional Strength),,Same as approved,11.08.11,
Ranolazine ER Tablets 750mg (Additional Strength),,Same as Approved,24.04.10,
Rasagiline (as mesylate ) Tablet 0.5mg/1mg,"Each tablet contains; rasagiline mesylate eq.to rasagiline-0.5mg, 1mg",For the tratment of signs and symptoms of idiopathic Parkinson's disease as intial monotherapy and as an addition to levodopa.,31.01.09,"Sun Pharma, Vadodara, Ajanta(1mg-5.05.09)"
Raubasine + Almitrine bismesylate,"Each film coated tablet contains; almitrine bismesylate-30mg, raubasine-10mg",For RMP- for the corrective treatment of symptoms due to abnormal mental deficiency and age related hypoxia in elderly patients (viz. Cerebral muscular insufficiencies),11/08/2003,Serdia pharma
Rbd Antigen Of Sars-Cov-2 (Covid-19),NA,NA,28-DEC-2021,Biological E - Shameerpet
Rbd Antigen Of Sars-Cov-2 (Covid-19),Rbd Antigen Of Sars-Cov-2 (Covid-19) 1.0000 Mg/Ml,NA,06-JAN-2022,Biological E - Shameerpet
Rcfp-10,"Rcfp10 1.0000 Gram (G),Disodium Hydrogen Phosphate Dihydrate 1.4400 Gram (G),Potassium Dihydrogen Phosphate 0.2000 Gram (G),Potassium Chloride 0.2000 Gram (G),Sodium Chloride 8.0000 Gram (G),Water For Injection 1000.0000 Ml",NA,07-DEC-2022,SERUM INSTITUTE OF INDIA PVT. LTD.
Rdesat-6,"Disodium Hydrogen Phosphate Dihydrate 1.4400 Gram (G),Water For Injection 1000.0000 Ml,Rdesat6 0.5000 Gram (G),Potassium Dihydrogen Phosphate 0.2000 Gram (G),Potassium Chloride 0.2000 Gram (G),Sodium Chloride 8.0000 Gram (G),Polysorbate 20 0.1000 Ml",NA,07-DEC-2022,SERUM INSTITUTE OF INDIA PVT. LTD.
Rdesat-6 And Rcfp-10 (Cy-Tb) Injection,"Rcfp-10 0.0500 Micrograms (Μg),Rdesat-6 0.0500 Micrograms (Μg),Disodium Hydrogen Phosphate Dihydrate 0.1400 Milligram (Mg),Potassium Dihydrogen Orthophosphate 0.0200 Milligram (Mg),Potassium Chloride 0.0200 Milligram (Mg),Sodium Chloride 0.8000 Milligram (Mg),Polysorbate 20 0.0100 Μl,Phenol 0.5000 Milligram (Mg)",Detection Of Latent-Tuberculosis In Infants And Above,16-MAY-2024,SERUM INSTITUTE OF INDIA PVT. LTD.
rDNA hepatitis B vaccine (10mcg),10mcg,At a dose of 10mcg up to an age of 19 years approved.,15-09-2000,Wockhardt ltd
Rebamipide Ophthalmic Suspension 2% W/V,"Rebamipide 2% W/V 2.0000 Weight/Volume(W/V),Stabilized Oxychloro Complex Ihs-S038 0.01% W/V 0.0100 Weight/Volume(W/V),Polyvinyl Alcohol 17.0000 Milligram (Mg),Disodium Edetate 0.5000 Milligram (Mg),Povidone K-30 10.0000 Milligram (Mg),Polyoxyl 40 Hydrogenated Castor Oil 25.0000 Milligram (Mg),Sodium Citrate 3.3000 Milligram (Mg),Sodium Chloride 3.2000 Milligram (Mg),Polyethylene Glycol 400 25.0000 Milligram (Mg),Water For Injection 0.0000 Q.S.",Rebamipide Ophthalmic Suspension 2% Is Indicated For The Treatment Of Dry Eye Signs And Symptoms,01-MAR-2021,CENTAUR PHARMACEUTICALS PRIVATE LIMITED
Rebamipide tablets,Each film coated tab contains; rebamipide-100mg,By gastroenterologists-for the treatment of gastric intestinal ulcers in adults only.,29/07/2004,Macleods pharma
Reboxetine tab,"Each uncoated tab contains; reboxetine methane sulphonate eq.to reboxetine-2mg,4mg",Mild to moderate depression in adults only.,31-12-2002,cadila health care
Recombinant Adenoviral Particles Of Serotype 26 Containing The Protein S Gene Of The Sars-Cov-2,NA,NA,08-OCT-2021,M/s. Hetero Biopharma Limited
Recombinant Adenoviral Particles Of Serotype 5 Containing The Protein S Gene Of The Sars-Cov-2,NA,NA,08-OCT-2021,M/s. Hetero Biopharma Limited
Recombinant Antihemophilic Factor Viii (R-Ahf-Viii),"R- Antihemophilic Factor 500.0000 Iu,Human Albumin 100.0000 Milligram (Mg),Sodium Chloride 88.0000 Milligram (Mg),Histidine 78.0000 Milligram (Mg),Macrogol 3350 10.0000 Milligram (Mg),Calcium Chloride, Dehydrate 5.9000 Milligram (Mg)",For Supplementing Blood Coagulation Factor Viii And Suppresses Bleeding Tendency In Congential Blood Coagulation Factor Viii Deficient Patients (Haemophilia A).,02-FEB-2023,Takeda Biopharmaceuticals India Pvt. Ltd.
Recombinant Antihemophilic Factor Viii (R-Ahf-Viii),"R- Antihemophilic Factor 250.0000 Iu,Human Albumin 100.0000 Milligram (Mg),Sodium Chloride 88.0000 Milligram (Mg),Histidine 78.0000 Milligram (Mg),Macrogol 3350 10.0000 Milligram (Mg),Calcium Chloride, Dehydrate 5.9000 Milligram (Mg)",For Supplementing Blood Coagulation Factor Viii And Suppresses Bleeding Tendency In Congential Blood Coagulation Factor Viii Deficient Patients (Haemophilia A).,02-FEB-2023,Takeda Biopharmaceuticals India Pvt. Ltd.
Recombinant Antihemophilic Factor Viii (R-Ahf-Viii),"R- Antihemophilic Factor 1000.0000 Iu,Human Albumin 100.0000 Milligram (Mg),Sodium Chloride 88.0000 Milligram (Mg),Histidine 78.0000 Milligram (Mg),Macrogol 3350 10.0000 Milligram (Mg),Calcium Chloride, Dehydrate 5.9000 Milligram (Mg)",For Supplementing Blood Coagulation Factor Viii And Suppresses Bleeding Tendency In Congential Blood Coagulation Factor Viii Deficient Patients (Haemophilia A).,02-FEB-2023,Takeda Biopharmaceuticals India Pvt. Ltd.
Recombinant Anti Rho(D) Immunoglobulin 150 Mcg,"Recombinant Anti Rho-D Immunoglobulin (Purified Liquid Bulk) 150.0000 Micrograms (Μg),Glycine 30.0000 Milligram (Mg),Sodium Chloride 5.8400 Milligram (Mg),Sodium Hydroxide 0.0000 Q.S.,Hydrochloric Acid 0.0000 Q.S.,Water For Injection 0.0000 Q.S To 1.0 Ml","R-Anti-D Is Indicated To Prevent Rh Negative Women From Forming Antibodies To Foetal Rhesus Positive Red Blood Cells, That May Pass In To The Maternal Blood During Child Birth, Abortion Or Certain Other Sensitizing Events",24-AUG-2021,Bharat Serums And Vaccines Limited
Recombinant Anti Rho-D Immunoglobulin 300 Mcg Injection,"Recombinant Anti Rho-D Immunoglobulin (Purified Liquid Bulk) 300.0000 Micrograms (Μg),Glycine 30.0000 Milligram (Mg),Sodium Chloride 5.8400 Milligram (Mg)","R-Anti·D Is Indicated To Prevent Rh Negative Women From Forming Antibodies To Foetal Rhesus Positive Red Blood Cells, That May Pass In To The Maternal Blood During Child Birth, Abortion Or Certain Other Sensitizing Events",28-DEC-2020,Bharat Serums And Vaccines Limited
Recombinant Anti Rho-D Immunoglobulin Injection 150 Mcg Pre-Filled Syringe,"Recombinant Anti Rho -D Immunoglobulin ( Purified Liquid Bulk) 150.0000 Micrograms (Μg),Glycine 30.0000 Milligram (Mg),Water For Injection 1.0000 Ml,Sodium Hydroxide 0.0000 Milligram (Mg),Hydrochloric Acid 0.0000 Milligram (Mg),Sodium Chloride 5.8400 Milligram (Mg)","Recombinant Anti Rho-D Immunoglobulin Is Indicated To Prevent Rh Negative Women From Forming Antibodies To Foetal Rhesus Positive Red Blood Cells, That May Pass Into The Maternal Blood During Child Birth, Abortion Or Certain Other Sensitizing Events",29-SEP-2022,Bharat Serums And Vaccines Limited
Recombinant Anti Rho-D Immunoglobulin (Purified Liquid Bulk),NA,NA,28-DEC-2020,Bharat Serums And Vaccines Limited
Recombinant Crm197 (Recombinant Non-Toxic Mutant Of Diphtheria Toxin) Bulk Frozen,"Crm197 Protein 1.0000 G/ 40 Ml,Crm197 Protein 20.0000 Mg/ 0.8 Ml",NA,01-NOV-2022,SERUM INSTITUTE OF INDIA PVT. LTD.
Recombinant Hepatitis E Vaccine (E. Coli),Recombinant Hev 239 Protein 30.0000 Micrograms (Μg),For Active Immunization Against Infection Caused By Hepatitis E Virus,14-JUN-2024,Urihk Pharmaceutical Private Limited
Recombinant Human Adenovirus Serotype Number 26 (Rad26)),NA,NA,16-MAR-2022,M/s. Hetero Biopharma Limited
Recombinant Human Epidermal Growth Factor,"Recombinant Human Epidermal Growth Factor 150.0000 Micrograms (Μg),Sodium Methyl Paraben 1.8000 Milligram (Mg),Sodium Propylparaben 0.2000 Milligram (Mg),Excipients 150.0000 Milligram (Mg)",Wound Healing And Organogenesis,25-MAY-2022,Anamay Biotech Private Limited
Recombinant Human Epidermal Growth Factor,"Recombinant Human Epidermal Growth Factor 10.0000 Micrograms (Μg),Sodium Methyl Paraben 1.8000 Milligram (Mg),Sodium Propylparaben 0.2000 Milligram (Mg),Excipients 10.0000 Milligram (Mg)",Wound Healing And Organogenesis,25-MAY-2022,Anamay Biotech Private Limited
Recombinant Human Epidermal Growth Factor,"Recombinant Human Epidermal Growth Factor 60.0000 Micrograms (Μg),Sodium Methyl Paraben 1.8000 Milligram (Mg),Sodium Propylparaben 0.2000 Milligram (Mg),Excipients 60.0000 Milligram (Mg)",Wound Healing And Organogenesis,25-MAY-2022,Anamay Biotech Private Limited
Recombinant Human Epidermal Growth Factor Aqueous Bulk (Rh-Egf),Recombinant Human Epidermal Growth Factor Aqueous Bulk 500.0000 Μg/Ml,NA,25-MAY-2022,Anamay Biotech Private Limited
Recombinant human Erythropoeitin inj.,"Each vial contains; rHuman erythropoeitin-2000IU, 4000IU","For hospitals/institutions & prescription of cancer specialist for anemia due to chronic renal failure, anemia associated with cancer & cancer chemotherapy, HIV infected patients on zidovudine, adult surgery patients in autologus pre-donation program and Þ¡",08/11/2000,Wockhardt ltd
Recombinant human erythropoietin,,For addition indication of autologous blood donation in case of anaemia due to chronic renal failure and anemia associated with cancer.,07/02/2000,Johnson & Johnson
Recombinant Human Erythropoietin (Epoetin Alfa),Epoetin Alfa (R-Huepo) 4000.0000 Iu,"Maintaining Hemoglobin(Hb) Levels In Chronic Renalfailure,Treatment Of Anemia Associated With Cancer Patients,Autologous Blood Transfusion,Reduction Of Allogenic Blood Transfusion In Surgery Patients/Perisurgery",18-JAN-2024,Zydus Lifesciences Limited
Recombinant Human Erythropoietin (Epoetin Alfa),Epoetin Alfa (R-Huepo) 10000.0000 Iu,"Maintaining Hemoglobin(Hb) Levels In Chronic Renalfailure,Treatment Of Anemia Associated With Cancer Patients,Autologous Blood Transfusion,Reduction Of Allogenic Blood Transfusion In Surgery Patients/Perisurgery",18-JAN-2024,Zydus Lifesciences Limited
Recombinant Human Erythropoietin (Epoetin Alfa),Recombinant Human Erythropoietin (Epoetin Alfa) 5000.0000 Iu,"Maintaining Hemoglobin(Hb) Levels In Chronic Renal Failure(Crf),Treatment Of Anemia Associated With Cancer Patients,Autologous Blood Transfusion,Reduction Of Allogenic Blood Transfusion In Surgery Patients/Perisurgery",09-JAN-2026,Zydus Lifesciences Limited
Recombinant Human Erythropoietin (Epoetin Alfa),Epoetin Alfa (R-Huepo) 2000.0000 Iu,"Maintaining Hemoglobin(Hb) Levels In Chronic Renalfailure,Treatment Of Anemia Associated With Cancer Patients,Autologous Blood Transfusion,Reduction Of Allogenic Blood Transfusion In Surgery Patients/Perisurgery",18-JAN-2024,Zydus Lifesciences Limited
"Recombinant Human Erythropoietin Injection 10,000 Iu/1 Ml And 20000 Iu/2 Ml","Recombinant Human Erythropoietin Injection 20000.0000 Iu,Polysorbate 20 0.2000 Milligram (Mg),Propylene Glycol 2.0000 Milligram (Mg),Glycine 2.0000 Milligram (Mg),D-Mannitol 20.0000 Milligram (Mg),Sodium Chloride 11.0000 Milligram (Mg)",Treatment Of Anemia In Chronic Renal Failure Patients.,27-DEC-2021,Cipla Limited
"Recombinant Human Erythropoietin Injection 10,000 Iu/1 Ml And 20000 Iu/2 Ml","Recombinant Human Erythropoietin Injection 10000.0000 Iu,Polysorbate 20 0.1000 Milligram (Mg),Propylene Glycol 1.0000 Milligram (Mg),Glycine 1.0000 Milligram (Mg),D-Mannitol 10.0000 Milligram (Mg),Sodium Chloride 5.5000 Milligram (Mg)",Treatment Of Anemia In Chronic Renal Failure Patients.,27-DEC-2021,Cipla Limited
Recombinant Human Erythropoietin Injection (Pfs),"Human Erythropoietin 3000.0000 Iu,Polysorbate 20 0.0300 Milligram (Mg),Propylene Glycol 0.3000 Milligram (Mg),Glycine 0.3000 Milligram (Mg),D- Mannitol 3.0000 Milligram (Mg),Sodium Chloride 1.6500 Milligram (Mg)",For Treatment Of Anemia In Chronic Renal Failure Patients,01-DEC-2021,Cipla Limited
Recombinant Human Erythropoietin Injection (Pfs),"Human Erythropoietin 10000.0000 Iu,Polysorbate 20 0.1000 Milligram (Mg),Propylene Glycol 1.0000 Milligram (Mg),Glycine 1.0000 Milligram (Mg),D- Mannitol 10.0000 Milligram (Mg),Sodium Chloride 5.5000 Milligram (Mg)",For Treatment Of Anemia In Chronic Renal Failure Patients,01-DEC-2021,Cipla Limited
Recombinant Human Erythropoietin Injection (Pfs),"Human Erythropoietin 4000.0000 Iu,Polysorbate 20 0.0400 Milligram (Mg),Propylene Glycol 0.4000 Milligram (Mg),Glycine 0.4000 Milligram (Mg),D- Mannitol 4.0000 Milligram (Mg),Sodium Chloride 2.2000 Milligram (Mg)",For Treatment Of Anemia In Chronic Renal Failure Patients,01-DEC-2021,Cipla Limited
Recombinant Human Erythropoietin Injection (Pfs),"Human Erythropoietin 6000.0000 Iu,Polysorbate 20 0.0600 Milligram (Mg),Propylene Glycol 0.6000 Milligram (Mg),Glycine 0.6000 Milligram (Mg),D- Mannitol 6.0000 Milligram (Mg),Sodium Chloride 3.3000 Milligram (Mg)",For Treatment Of Anemia In Chronic Renal Failure Patients,01-DEC-2021,Cipla Limited
Recombinant Human Erythropoietin Injection (Pfs),"Human Erythropoietin 8000.0000 Iu,Polysorbate 20 0.0800 Milligram (Mg),Propylene Glycol 0.8000 Milligram (Mg),Glycine 0.8000 Milligram (Mg),D- Mannitol 8.0000 Milligram (Mg),Sodium Chloride 4.4000 Milligram (Mg)",For Treatment Of Anemia In Chronic Renal Failure Patients,01-DEC-2021,Cipla Limited
Recombinant Human Erythropoietin Injection (Pfs),"Human Erythropoietin 2000.0000 Iu,Polysorbate 20 0.0500 Milligram (Mg),Propylene Glycol 0.5000 Milligram (Mg),Glycine 0.5000 Milligram (Mg),D-Mannitol 5.0000 Milligram (Mg),Sodium Chloride 2.7500 Milligram (Mg)",For Treatment Of Anemia In Chronic Renal Failure Patients,01-DEC-2021,Cipla Limited
Recombinant human erythropoietin rHuEPO,,For additional indication; anemia associated with cancer to conditions of letter (even no.dated 27-1-1993),12/07/2000,Hindustan antibiotics ltd.
"Recombinant Human Follicle Stimulating Hormone (Follitropin) 75iu/0.15ml, 150iu/0.3ml, 225iu/0.45ml, 300iu/0.6ml Solution For Injection In Prefilled Syringe","Recombinant Human Follicle Stimulating Hormone (Follitropin) 75.0000 Iu,Glycine 2.1000 Milligram (Mg),L-Methionine 0.0750 Milligram (Mg),Polysorbate 20 0.0150 Milligram (Mg)","Treatment Of Female Infertility In The Following Clinical Situations: Controlled Ovarian Hyperstimulation To Induce The Development Of Multiple Follicles In Medically Assisted Reproduction Program (E.G. In Vitro Fertilization (Ivf), Gamete Intra-Fallopian Transfer (Gift) And Zygote Intra-Fallopian Transfer (Zift), Intracytoplasmic Sperm Injection (Icsi)). Anovulation In Clomiphene-Resistant Anovulatory Infertility Women (Who Group Ii, Including Polycystic Ovarian Disease (Pcod))",14-FEB-2022,Cipla Limited
"Recombinant Human Follicle Stimulating Hormone (Follitropin) 75iu/0.15ml, 150iu/0.3ml, 225iu/0.45ml, 300iu/0.6ml Solution For Injection In Prefilled Syringe","Recombinant Human Follicle Stimulating Hormone (Follitropin) 150.0000 Iu,Glycine 4.2000 Milligram (Mg),L-Methionine 0.1500 Milligram (Mg),Polysorbate 20 0.0300 Milligram (Mg)","Treatment Of Female Infertility In The Following Clinical Situations: Controlled Ovarian Hyperstimulation To Induce The Development Of Multiple Follicles In Medically Assisted Reproduction Program (E.G. In Vitro Fertilization (Ivf), Gamete Intra-Fallopian Transfer (Gift) And Zygote Intra-Fallopian Transfer (Zift), Intracytoplasmic Sperm Injection (Icsi)). Anovulation In Clomiphene-Resistant Anovulatory Infertility Women (Who Group Ii, Including Polycystic Ovarian Disease (Pcod))",14-FEB-2022,Cipla Limited
"Recombinant Human Follicle Stimulating Hormone (Follitropin) 75iu/0.15ml, 150iu/0.3ml, 225iu/0.45ml, 300iu/0.6ml Solution For Injection In Prefilled Syringe","Glycine 6.3000 Milligram (Mg),L-Methionine 0.2250 Milligram (Mg),Polysorbate 20 0.0450 Milligram (Mg),Recombinant Human Follicle Stimulating Hormone (Follitropin) 225.0000 Iu","Treatment Of Female Infertility In The Following Clinical Situations: Controlled Ovarian Hyperstimulation To Induce The Development Of Multiple Follicles In Medically Assisted Reproduction Program (E.G. In Vitro Fertilization (Ivf), Gamete Intra-Fallopian Transfer (Gift) And Zygote Intra-Fallopian Transfer (Zift), Intracytoplasmic Sperm Injection (Icsi)). Anovulation In Clomiphene-Resistant Anovulatory Infertility Women (Who Group Ii, Including Polycystic Ovarian Disease (Pcod))",14-FEB-2022,Cipla Limited
"Recombinant Human Follicle Stimulating Hormone (Follitropin) 75iu/0.15ml, 150iu/0.3ml, 225iu/0.45ml, 300iu/0.6ml Solution For Injection In Prefilled Syringe","Recombinant Human Follicle Stimulating Hormone (Follitropin) 300.0000 Iu,Glycine 8.4000 Milligram (Mg),L-Methionine 0.3000 Milligram (Mg),Polysorbate 20 0.0600 Milligram (Mg)","Treatment Of Female Infertility In The Following Clinical Situations: Controlled Ovarian Hyperstimulation To Induce The Development Of Multiple Follicles In Medically Assisted Reproduction Program (E.G. In Vitro Fertilization (Ivf), Gamete Intra-Fallopian Transfer (Gift) And Zygote Intra-Fallopian Transfer (Zift), Intracytoplasmic Sperm Injection (Icsi)). Anovulation In Clomiphene-Resistant Anovulatory Infertility Women (Who Group Ii, Including Polycystic Ovarian Disease (Pcod))",14-FEB-2022,Cipla Limited
Recombinant Human Follicle Stimulating Hormone Injection I.P. Solution For Injection In Prefilled Pen 1200 Iu / 2 Ml,"Follitropin Concentrated Solution (Recombinant) [Recombinant Human Follicle Stimulating Hormone] 1200.0000 Iu,Disodium Hydrogen Phosphate Anhydrous 5.6800 Milligram (Mg),Mannitol 120.0000 Milligram (Mg),Sucrose 40.0000 Milligram (Mg),L-Methionine 0.8000 Milligram (Mg),Tween 20 (Polysorbate 20) 0.8000 Milligram (Mg),Meta-Cresol 6.0000 Milligram (Mg),Sodium Hydroxide 0.0000 Not Applicable (Na),Phosphoric Acid 0.0000 Not Applicable (Na),Wfi 0.0000 Q.S To 2.0 Ml","Anovulation (Including Polycystic Ovarian Disease, Pcod) In Women Who Have Been Unresponsive To Treatment With Clomiphene Citrate. Stimulation Of Multi-Follicular Development In Patients Undergoing Superovulation For Assisted Reproductive Technologies (Art) Such As In Vitro Fertilization (Ivf), Gamete Intra-Fallopian Transfer (Gift) And Zygote Intra-Fallopian Transfer (Zift",19-JAN-2022,Bharat Serums And Vaccines Limited
Recombinant Human Follicle Stimulating Hormone Injection I.P. Solution For Injection In Prefilled Pen 300 Iu  (22.0 Mcg) / 0.5 Ml,"Follitropin Concentrated Solution (300 Iu) 22.0000 Micrograms (Μg),Disodium Hydrogen Phosphate Anhydrous 1.4200 Micrograms (Μg),Mannitol 30.0000 Micrograms (Μg),Sucrose 10.0000 Micrograms (Μg),L-Methionine 0.2000 Micrograms (Μg),Tween 20 (Polysorbate 20) 0.2000 Micrograms (Μg),Meta-Cresol 1.5000 Micrograms (Μg),Sodium Hydroxide 0.0000 Micrograms (Μg),Phosphoric Acid 0.0000 Ml,Water For Injection 0.5000 Q.S.","Anovulation (Including Polycystic Ovarian Disease, Pcod) In Women Who Have Been Unresponsive To Treatment With Clomiphene Citrate.",22-AUG-2022,Bharat Serums And Vaccines Limited
Recombinant Human Follicle Stimulating Hormone Injection I.P. Solution For Injection In Prefilled Pen  450 Iu / 0.75 Ml,"Mannitol 45.0000 Milligram (Mg),Sucrose 15.0000 Milligram (Mg),Disodium Hydrogen Phosphate Anhydrous 2.1300 Milligram (Mg),L-Methionine 0.3000 Milligram (Mg),Follitropin Concentrated Solution (Recombinant) [Ecombinant Human Follicle Stimulating Hormone] 450.0000 Iu,Wfi 0.0000 Q.S To 0. 75 Ml,Phosphoric Acid 0.0000 Not Applicable (Na),Sodium Hydroxide 0.0000 Not Applicable (Na),Tween 20 (Polysorbate 20) 0.3000 Milligram (Mg),Meta-Cresol 2.2500 Milligram (Mg)","Anovulation (Including Polycystic Ovarian Disease, Pcod) In Women Who Have Been Unresponsive To Treatment With Clomiphene Citrate. Stimulation Of Multi-Follicular Development In Patients Undergoing Superovulation For Assisted Reproductive Technologies (Art) Such As In Vitro Fertilization (Ivf), Gamete Intra-Fallopian Transfer (Gift) And Zygote Intra-Fallopian Transfer (Zift)",16-AUG-2021,Bharat Serums And Vaccines Limited
Recombinant Human Follicle Stimulating Hormone Injection I.P. Solution For Injection In Prefilled Pen 900 Iu / 1.5 Ml,"Follitropin Concentrated Solution(Recombinant) [Recombinant Human Follicle Stimulating Hormone] 900.0000 Iu,Disodium Hydrogen Phosphate Anhydrous 4.2600 Milligram (Mg),Mannitol 90.0000 Milligram (Mg),Sucrose 30.0000 Milligram (Mg),L-Methionine 0.6000 Milligram (Mg),Tween 20 (Polysorbate 20) 0.6000 Milligram (Mg),Meta-Cresol 4.5000 Milligram (Mg),Sodium Hydroxide 0.0000 Not Applicable (Na),Phosphoric Acid 0.0000 Not Applicable (Na),Wfi 0.0000 Q.S To 1.5 Ml","Anovulation (Including Polycystic Ovarian Disease, Pcod) In Women Who Have Been Unresponsive To Treatment With Clomiphene Citrate. Stimulation Of Multi-Follicular Development In Patients Undergoing Superovulation For Assisted Reproductive Technologies (Art) Such As In Vitro Fertilization (Ivf), Gamete Intra-Fallopian Transfer (Gift) And Zygote Intra-Fallopian Transfer (Zift)",16-AUG-2021,Bharat Serums And Vaccines Limited
Recombinant Human Growth Hormone (Somatropin) Injection 4 Iu,"Recombinant Human Growth Hormone (Somatropin) 4.0000 Iu,Glycine 20.0000 Milligram (Mg),D-Mannitol 5.0000 Milligram (Mg)","Long Term, Treatment Of Children Who Have Growth Failure Due To Endogenous Growth Hormone And For Treatment Of Short Stature In Children With Turner'S Syndrome Confirmed By Chromosomal Analysis.",02-NOV-2020,Cipla Limited
Recombinant human tissue type plasminogen activation injection (Actilyse),"20mg, 50mg per vial",For fibrinolytic therapy in acute thrombotic coronary artery occlusion.,1989-July,German remedies
Recombinant Insulin Aspart,NA,NA,01-NOV-2021,M/s BioGenomics Limited
Recombinant Insulin Aspart I.P (R-Dna Origin) Drug Substance (Lyophilized Powder),Recombinant Insulin Aspart 100.0000 U,NA,12-SEP-2025,M/s BioGenomics Limited
"Recombinant Insulin Glargine (Ip, Ph.Eur., Usp)",Insulin Glargine 94.0000 %,NA,27-MAR-2024,M.J. Biopharm Private Limited
"Recombinant Parathyroid Hormone ( 1-34) R-Dna Origin, Teriparatide Injection","Water For Injection Qs To 1.0000 Ml,Metacresol 3.0000 Milligram (Mg),Mannitol 45.4000 Milligram (Mg),Glacial Acetic Acid 0.4100 Milligram (Mg),Sodium Acetate Anhydrous 0.1000 Milligram (Mg),Hydrochloric Acid Qs To 3.8000 Ph,Teriparatide Drug Substance (R- Dna Origin) 0.2500 Milligram (Mg),Sodium Hydroxide Qs To 3.8000 Ph","Treatment Of Osteoporosis In Postmenopausal Women,Treatment Of Osteoporosis Associated With Sustained Systemic Glucocorticoid Therapy In Women And Men At Increased Risk For Fracture,Treatment Of Osteoporosis In Postmenopausal Women And In Men At Increased Risk Of Fracture Or Patients Who Have Failed Or Are Intolerant To Other Available Osteoporosis Therapy,To Increase Bone Mass In Men With Primary Or Hypogonadal Osteoporosis At High Risk For Fracture Or Who Have Failed Or Are Intolerant To Other Available Osteoporosis Therapy,For The Treatment Of Men And Women With Osteoporosis Associated With Sustained Systemic Glucocorticoid Therapy At High Risk For Fracture Or Who Have Failed Or Are Intolerant To Other Available Osteoporosis Therapy,In Postmenopausal Women, A Significant Reduction In The Incidence Of Vertebral And Nonvertebral, Fractures But Not Hip Fractures Has Been Demonstrated.",08-DEC-2022,"Enzene Biosciences Ltd., Pune"
"Recombinant Parathyroid Hormone ( 1-34) R-Dna Origin, Teriparatide Injection","Teriparatide Drug Substance 250.0000 Micrograms (Μg),Sodium Acetate Anhydrous 0.1000 Milligram (Mg),Glacial Acetic Acid 0.4100 Milligram (Mg),Mannitol 45.4000 Milligram (Mg),Meta Cresol 3.0000 Milligram (Mg)",Postmenopausal Osteoporosis,28-JAN-2021,"Enzene Biosciences Ltd., Pune"
Recombinant-Peg Gcsf Injection,"Peg Rh Gcsf 10.0000 Mg/Ml,D-Sorbitol 30.0000 Milligram (Mg),Water For Injection 0.0000 Q.S,Polysorbate 80/Tween 80 0.0200 Milligram (Mg),Sodium Acetate Anhydrous 0.7200 Milligram (Mg),Glacial Acetic Acid 0.3060 Milligram (Mg)",Indication Enclosed As A Separate Annexure,30-DEC-2021,Virchow Biotech Private Limited
Recombinant Rabies G Protein Vaccine,R-Rabies G Protein 50.0000 Micrograms (Μg),"Active Immunization Against Rabies For,  Post-Exposure Treatment (After Exposure): Treatment After Contact With Animals Which Are Rabid Or Suspected To Be Rabid, Or After Contact With An Inoculated Rabies Carcass.",08-MAY-2020,Cadila Pharmaceuticals Limited
Recombinant Romiplostim Drug Substance 0.50 ± 10 % Mg/Ml (0.45 To 0.55 Mg/Ml),Romiplostim Drug Substance 0.4500 Mg/Ml,NA,06-JAN-2026,"Enzene Biosciences Ltd., Pune"
Recombinant Streptokinase Bulk Solution,NA,NA,01-APR-2025,Levim Lifetech Private Limited
Recombinant Streptokinase For Injection,"Recombinant Streptokinase Bulk Solution 1.5000 Million Iu/Vial,Glycine 40.0000 Milligram (Mg)",Myocardial Infarction,01-APR-2025,Levim Lifetech Private Limited
Regorafenib,Regorafenib 40.0000 Milligram (Mg),Regorafenib Is Indicated For The Treatment Of Patients With Hepatocellular Carcinoma (Hcc) Who Have Been Previously Treated With Sorafenib.,04-AUG-2020,Bayer Pharmaceuticals Pvt. Ltd.
Regorafenib Tablet,Each film coated tablet contains; regorafenib-40mg,"For the â€œtreatment of patients with metastatic  colorectal cancer (CRC) who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF therapy, and, if KRAS wild type, an anti-EGFR therapyâ€.",01.07.14,Bayer pharma
Relugolix,Relugolix 120.0000 Milligram (Mg),For The Treatment Of Adult Patients With Advanced Hormone Sensitive Prostate Cancer,17-APR-2025,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Relugolix,Relugolix 0.0000 Milligram (Mg),NA,30-NOV-2023,M/s. LEE PHARMA LIMITED
Relugolix,Relugolix 100.0000 Milligram (Mg),NA,21-MAR-2024,BDR Lifesciences Private Limited
